Titulo
21 gramos
Suite Habana
El premio
Space Cowboys
Una jornada particular
14 de julio
21 gramos
4 luni, 3 saptamáni si 2zile
Dos metros bajo tierra, A
la mañana siguiente, A
Abismos de pasión
Acción mutante
Adiós a mi concubina
Aflicción
Al otro lado
Al servicio de las damas
Alemania, año cero
Aleksandr Nevskiy
Algunos hombres buenos
Amantes 
Amén. 
Amor en conserva
Amores perros
Angeles sin brillo
Antes que el diablo sepa que h
Apache
Aparajito - Trilogía de .Apu
Apur Sansar - Trilogía de Apu
Arcadia
Arsénico por compasión
Arturo de Cordova
Atraco a las tres
Atraco perfecto
Ayer, hoy y mañana
Bagdad Cafe
Bailando con lobos 
Bajo los techos de París
Barrio
Berlín Exp-*jjass
Bienvenidos a Collinwood
Blade Runner
Blow-Up (Deseo de una mañana d
Boca a boca
Bodas de sangre
Bodas reales
Braveheart
Buenas noches, y buena suerte.
Buenos días, noche
Buenos días
Cabaret 
Caché (Escondido)
Cadena perpetua
Cadenas rotas
Café irlandés
Calabuch
Camarada
Camino
Canción de cuna para un cadáve
Candilejas
Cara de ángel
Caro diario: querido diario
Carreteras secundarias
Carrie
Carros de fuego
Carta a tres esposas
Casablanca
Cayo Largo
Cazador blanco, corazón negro
Cazador de forajidos
Charada
Chicago
Chocolat
Cinema Paradiso
Ciudad de Dios
Ciudad sin ley
Ciudadano Kane
Code '
Coffee and CigarettesJ/Wl</A//
Como agua para chocolate
Cómo casarse con un millonario
Con amor, Liza
Con faldas y a lo loco
I giorni contati
Confidencias
Contra la pared
Conversaciones con mi jardiner
Cookie's Fortune
Copacabana
Corazón rebelde
Corrientes ocultas
Cotton Club
Crash
C.S.I. - Temporada 1
CSI: Miami - Temporada 1
Cuando muere el día
Cube
Cuento de invierno
Cuento de otoño
Cuento de primavera
Cuento de primavera
Conte d'été
Cuentos de la luna pálida
fióc cuentos de Tokyo
Cumbres borrascosas
Cyrano de Bergerac 
Cyrano de Bergerac 
Danzad, danzad, malditos
Delitos y faltas
Desayuno con diamantes
Desayuno en Plutón
Deseando amar
Deseos humanos 
Días contados
Dies irae
12 hombres sin piedad
Dodesukaden
Dogville
Dolls - Marionetas
Dos cabalgan juntos
Dos chicas de hoy
Dos hombres contra el Oeste
Dos hombres y un destino
2001: Una odisea del espacio
Dos mujeres x2
Duelo al sol
Edipo rey
West Side Story
El gran MacLintock
El abrazo de la muerte
El Alamo
El americano impasible x2
El amo de la casa
Eli amor
El ángel exterminador
El apartamento
El asesinato de Richard Nixon
El aventurero
El aviador
El banquete de boda
El bueno, el feo y el malo
El burlador de Castilla
El buscavidas
El cartero siempre llama dos v
El cielo protector
El color del dinero
El coronel Maciá
El coronel no tiene quien le e
El crepúsculo de los dioses
El cuarto hombre
El cuarto protocolo
El cuchillo en el agua
El día más largo
El diablo de las aguas turbias
El dinero
El empleo del tiempo
Un espíritu burlón
El extraño
El extraño amor de Martha Iver
El extraño viaje
El fantasma de la ópera
El fantasma y la señora Muir
El fugitivo
El gatopardo x2
El gran dictador
El gran Flamarion
El gran Lebowski
El gran mago
El hijo de Montecristo
El hombre del tren
El hombre que mató a Liberty V
El hombre que se apareció a si
El honor de los prizzi
El hundimiento
El increíble hombre menguante
El inocente
El intendente Sansho
El jardinero fiel
El joven Lincoln
El jurado
El laberinto del fauno
El león en invierno
Most Dangerous Game, The
El manantial de la doncella
El maquinista de la general
El mensajero del miedo
El mercader de Venecia
El millonario
El nacimiento de una nación
El navegante
El otro lado de la cama
El paciente inglés
El padrino
El padrino. Parte II
El padrino. Parte III
El perro del hortelano x2
El pianista x2
El piano x2
Prince and the Pauper, The
El principio de la incertidumb
Procés de Jeanne d'Arc
El profesor chiflado
El puente sobre el río Kwai
El resplandor
El rostro impenetrable
El salario del miedo
El samurai ciego
El sargento negro
El secreto de Vera Drake
El señor de Balantry
El séptimo sello
El silencio de un hombre
El tercer hombre
El trigo esta verde
August Rush: El triunfo de un
El último emperador
El último golpe
El último gran mago
El último show
El valle de la venganza 
El verdugo
El viaje a ninguna parte
El viaje de Chihiro
El viaje de la tortuga
El viaje de los malditos
El violinista en el tejado (x2
Ellos y ellas
Emma, de Jane Austen
En alas de la danza
En busca del fuego
En el valle de Elah
En la cama
En tierra de nadie
Encuentros en la tercera fase
Ensayo de un crimen
Bnviado especial
Escala en Hawaii
Epaña en la memoria
Estación Termini
Europa
Eva al desnudo
Factótum
Falso culpable
Fanny y Alexander
Fascinación
forajidos 
Funny Games: juegos divertidos
furia
Furtivos
Gente con clase
Gertrud
Ghandi
Good bye, Lenin!
Gritos y susurros
Guantanamera
Ha nacido una estrella
Ha nacido una estrella
Hacia el sur
Hamlet
Happy Together 
Harry, un amigo que os quiere
Hatari!
Heat
Heavy
Hijos de un mismo dios
Historias de Filadelfia
Historias de la radio
Historias extraordinarias
hombres
Hombres intrépidos
Horizontes de grandeza-—^
Hótel du Nord
house temporada 1 - Temporada
House - Temporada 1
Huracán sobre la isla
Imitación a la vida
Indefenso
En busca del arca perdida
Indiana Jones y la última cruz
Indiana Jones y el reino de la
indiscreta
Inland Empire
Inquietud
intervista
Investigación sobre un ciudada
Irma, la dulce
Jet Lag
Jezabel
Jo, ¡qué noche!
Johnny Guitar
Jóvenes prodigiosos

Juan Nadie 
Juana la loca
Jules y Jim
Giulietta de los espíritus
Julio César
junio -
Juventud ambiciosa
K-19: The Widowmaker
Kim de la India
Northanger Abbey
La ansiedad de Veronika Voss
La boda del monzón
Cena de Navidad
La caída de los dioses
La carga de la Brigada Ligera
La carta
La casa de bambú
La caza del Octubre Rojo
La clase
La colina
La colina de los diablos de ac
La colmena
La condesa descalza
La corona de hierro
La Costilla de Adán 
La dama del armiño
La decisión de Sophie
La diligencia
La dolce vita
La ducha
La escalera de caracol
la .estrella ausente
El último samurai
La estrella de variedades
La fiera de mi niña
La flor de mi secreto
La fortuna de vivir
La gran aventura de Silvia
La gran evasión
La habitación de Fermat
La habitación del hijo
La heredera
La herencia Ferramonti
La hora de los valientes
La impetuosa
La inglesa y el duque
La joven de la perla
La lengua de las mariposas
la ley de la fuerza
La milla verde
La muchacha de Londres
La mujer del año
La mujer del cuadro
La mujer pantera
La noche de los muertos vivien
La noche del cazador
La novia cadáver
La octava mujer de Barba Azul
La pantera Rosa
La pradera sin ley
La quimera del oro
La reina de África
La taberna del irlandés
La tapadera
La tentación vive arriba
La tienda de los horrores
La última vez que vi Paris
La ventana indiscreta
La vida de nadie
La vida es dulce
La vida secreta de las palabra
La zona gris
las cuatro plumas
Las damas del bosque de Boloni
Las flores de Harrison
Las horas
Las invasiones bárbaras
Las maniobras del amor
Las mujeres de verdad tienen c
Las nieves del Kilimanjaro
Las tres noches de Eva
Las uvas de la ira
Las vírgenes suicidas
Las zapatillas rojas
Last Days
Laura
Lawrence de Arabia
Lejos del cielo
leolo
Lo que piensan las mujeres
lola
Les amants
Los amigos de Peter
Los Blandings ya tienen casa
Los falsificadores
Los girasoles
Los girasoles ciegos
Un dia en las carreras
Una tarde en el circo
Tienda de locos
El hotel de los lios
Los hermanos Marx en el Oeste
Los intocables de Eliot Ness
Los inútiles
los joyeros del claro de luna
Los lunes al sol
Los mejores años de nuestra vi
Los pazos de Ulloa
Los santos inocentes
Los siete magníficos
Los siete samuráis
Los Tarantos
los tres reyes
Los viajes de Sullivan
Lucía y el sexo
Luna de Avellaneda
Luna nueva
Lunas de hiel
Macarroni
Madayo
Madres e hijas (copia pirata)
Mamá cumple cien años
Manhattan
Mansfíeld Park
Manuale d'amore
Marius y Jeannette (un amor en
Martín (Hache)
Master and commander: Al otro
Matar a un ruiseñor
Matrix
Matrix Reloaded
Matrix Revolutions, The
Mayerling
Me linda y Melinda
Melodías de Broadway
Memorias de África
Mii mejor amigo
Michael Clayton
Milagro en Milán
Million Dollar Baby
Misery
Moulin Rouge
Mrs. Henderson presenta
Muerte de un ciclista
Muerte de un viajante
Muerte en Venecia
Mujeres en Venecia
Mystic River
Narciso negro
Nazarín
New York, New York
Niágara
Gycklarnas afton. Noche de cir
Nueve reinas
Obsesión
Ocean's eleven. Hagan juego
ochenta y ocho minutos
Octubre
Oliver Twist (catalan)
Oliver twist
Opera prima
Operación Cicerón
Operación Pacífico
Operación Whisky
Ordet (La palabra)
orgullo y prejuicio
Oro, amor y sangre
Osama
Pajaritos y pajarracos
Palabra y utopía
Pan, amor y celos
Pan, amor y fantasía
Papillon
Para todos los gustos
Paris, Texas
Pather Panchali
Patrimonio nacional
Pepi, Luci, Bom y otras chicas
Pequeña Miss Sunshine
Perdición
Persuasión (Jane Austen)
Pickpocket
Picnic
Pink Floyd The Wall
Plácido
Polonia - Temporada 1
Poltergeist
Primavera, verano, otoño, invi
Puerta de las lilas
Quantum of Solace
Qué bello es vivir!
Que el cielo la juzgue
Qué ocurrió entre mi padre y t
Qué verde era mi valle!
Querido detective
Quills
Ragtime - Temporada 1
Rebelde sin causa
Recursos humanos
Retorno al pasado
Roma, ciudad abierta
Romeo debe morir
Sacrificio
Salvador (Puig Antich)
Salvar al soldado Ryan
Sangre fácil
Sangre, sudor y lágrimas
Sangre y arena
Tsubaki Sanjüró
Saraband
Secretos del corazón
Secretos y mentiras
Sentido y sensibilidad
Señales del futuro
Ser o no ser
Shoah
Sin amor
Yes Minister - Temporada 1
Sin conciencia
Sin novedad en el frente
Sirenas
Sitiados
Smoking Room
Solo ante el peligro
Sólo el cielo lo sabe
Sólo mía
Stromboli, tierra de Dios
Su juego favorito
Sueños
Swimming Pool
Tambores lejanos
Tango
Te querré siempre
Tener y no tener
Tess
Testigo de cargo
Abyss
Una mujer difícil
Queen (La Reina), The
Wire - Bajo escucha, The (temp
Tiburón
Tiempo de amar, tiempo de mori
Tierra y libertad
Tierras de penumbra
Titanic
Ser o no ser
Todo por la pasta
Todo sobre mi madre
Todos a casa
Toma el dinero y corre
Tomates verdes fritos
Toro salvaje
Traffic
Tres reyes
trilogía de apu
El imperio contraataca
El retorno del Jedi
Star Wars: Episodio IV - Una n
Capote
Tsotsi
Tú, yo y todos los demás
Tú y yo
Un botín de 500.000 dólares
Reservation Road
Un funeral de muerte
Un gángster para un milagro
Pijama para dos
un océano infinito BBC
Un puente lejano
Un tipo corriente
Un toque de canela
Un tranvía llamado deseo
Un verano con Mónica
On Our Merry Way
Una habitación con vistas
Una historia verdadera
Una jornada particular
Una mujer para dos
Una partida de campo
Una relación privada
Una terapia peligrosa
Underworld
Uno dos y tres
Vacaciones en Roma
Entre los muertos, De
Coronel Blimp
Viridiana
Viva la libertad
Vivir
Wall Street
Whisky
White Noise
Y Dios creó la mujer
Y tu mamá también
Zona libre
Drácula, de Bram Stoker
Superman
El apartamento
Sitiados
Abril
Julia
Arizona baby
Francés
Wallander - Temporada 1
Fuego en el cuerpo
Cuando muere el día
La última estación
Las nieves del Kilimanjaro
Ave del paraíso
El pan nuestro de cada día
La brigada suicida
Orden: Caza sin cuartel
Macbeth
El extraño
Dead Man
La mu j er Mi nombre es Ninguno

Un final made in Hollywood
Todo lo demás
Melinda y Melinda
Sueños de un seductor
La maldición del escorpión de
Bowling for Columbine
Casablanca
Las vacaciones del señor Hulot
Este contraveneno del Oeste
Sorgo rojo
Hachi-gatsu no kyóshikyoku
Gentlemán Jim
La historia oficial
Loca
Ninotchka
La delgada línea roja
Rufufú
Cómo robar un millón y...
Sopa de ganso
La lista de Schindler
Babel
Escrito sobre el viento
Los chicos de Scottsboro
Lady Jane
Presidente Mitterrand
Mi padre es ingeniero
Marie-Jo y sus dos amores
Marius y Jeannette (un amor en
Hierro 3
Hwal (El arco)
Time
Brokeback Mountain
El fabuloso mundo del circo
Hiroshima mon amour
Sed de mal
Sucedió mañana
Trainspotting
Reservoir dogs
Reservoir Dogs
Río Grande
Trapecio
Rebeca
El acorazado Potemkin
El caballero del Oeste
Syriana
El último mohicano
La ley del silencio
Los caballeros de la mesa cuad
Se armo la gorda
Aterriza como puedas
Atrapa a un ladrón
London River
El último gran mago
La habitación de Fermat
El último samurai
Juno
Sicko
El último samurai
La última estación
El espíritu de la colmena
El niño de la bicicleta
11'09,,01 - 11 de septiembre
paris je t'aime
Sueños de haiti
De entre los muertos
La ventana indiscreta
Los intocables de Eliot Ness
Falso culpable
Tiburón
Salvar al soldado Ryan
Sin novedad en el frente
Encuentros en la tercera fase
El viaje de los malditos
Volver
0 Brother!
Juana la Loca
La hora de los valientes
El perro del hortelano
Amantes
Cómo ser John Malkovich
La vida privada de Enrique VII
El halcón y Ia flecha
Los fabulosos Baker Boys
Juana la Loca
La teta asustada
Casino, de Scorsese
El pirata Barbanegra
Tragedia y triunfo de Verdi
Los pájaros
La vida de los otros
El caso Bourne
El mito de Bourne
El ultimátum de Bourne
Green Zone: Distrito protegido
Sucedió una noche
Niñera moderna
La ciudad de la alegría
The Closer - Temporada 1
The Closer - Temporada 1
Wallander - Temporada 1
Wallander - Temporada 1
Cantando bajo la lluvia 
Mientras Nueva York duerme
La ley del silencio
Papá está en viaje de negocios
Escrito sobre el viento
El amigo americano
E.T., el extraterrestre
Matrimonio a la italiana
Pa negre
Una historia del Bronx
La muerte tenía un precio
Me siento rejuvenecer
Los caballeros las prefieren r
El prestamista
Larga jornada hacia la noche
Breve encuentro
Bus Stop
Kagemusha, la sombra del guerr
El multimillonario
La escapada
Círculo rojo
El rey del rodeo
El sol documental
El capitán Blood
Yo, también
Good
Patton
Tora, Tora, Tora
Náufragos
Mensaka
El beso de la mujer araña
Esperanza y gloria
La carta esférica
Bicicleta, cullera, poma
Vivir
La soga
Frenesí
Un corazón en peligro
La legión invencible
La caída de la casa Usher
Gary Cooper, que estás en los
Valkiria
Asesinato en 8mm.
Millennium 1: Los hombres que
Millennium 2: La chica que soñ
Millennium 3 - La reina en el
La evasión
El Bazar de las sorpresas
El viaje fantástico de Simbad
Sinbad y el ojo del tigre
El último golpe (2)
El secreto de sus ojos
The Italian Job
El vuelo del Fénix
Yuma/ Rum of the arrow
Yuma
Divorcio a la italiana
El informe Pelícano
Mi vida sin mí
Chinatown
La soledad
Presunto inocente
Ojos negros
El Decamerón (trilogía de la
I racconti di Canterbury (trio
Las mil y una noches (trilog
Salvatore Giuliano
Gattaca
El gran Gatsby
El truco del manco
El árbol de los zuecos
un maldito embrollo
Esperando a Mr. Bridge
El mundo en sus manos
El mundo en sus manos
De Dioses y Hombres
El hombre de Laramie
El discurso del Rey
Siempre hay un mañana
Ninotchka
Copia Certificada
El Abuelo
Vacas
Hamsun
La milla verde
Escuchando a Garzón
El pricipe de nías mareas
El misterio de Palé chorse
Atrapa a un ladrón
El último pistolero
Margen de error
Dame un poco de amoor
Gorilas en la niebla
El show de Truman
El misterio de las siete esfer
Full Monty
Full Monty
La gata sobre el tejado de zin
Extraños en un tren (dos versi
El discreto encanto de la burg
Espartaco
Y la nave va
La grande illusion 1
La Marsellesa 2
El cabo atrapado 3
La hija del agua 4
Sur un air de Charleston 5
La petite marchande d'allumett
Un lugar en el sol
I’m Not There.
Soylent Green: Cuando el desti
¡Viva Zapata!
El señor de la guerra (cine ép
Julio César, 'El Conquistador
El último valle (cine épico)
Waterloo (cine épico)
La strada (Fellini)
El jeque blanco (Fellini)
El limpiabotas (De Sica)
L'oro di Napoli (De Sica)
