Titulo;Ano;Pais;Genero
Dolls - Marionetas;2002;Japan;Drama, Romántica
Dos cabalgan juntos;1961;USA;Lejano Oeste •
Dos chicas de hoy;1997;UK;Drama
Dos hombres contra el Oeste;1971;USA;Lejano Oeste
Dos hombres y un destino;1969;USA;Drama, Aventuras, Policial (cr
2001: Una odisea del espacio;1968;UK;Ciencia Ficción, Aventuras, Mi
Dos mujeres x2;1960;Italy;Drama, Bélica
Duelo al sol;1946;USA;Drama, Lejano Oeste, Romántica
Edipo rey;1967;Italy;Drama
West Side Story;1961;USA;Drama, Policial (crimen), Romá
El gran MacLintock;1963;USA;Comedia, Lejano Oeste, Románti
El abrazo de la muerte;1949;USA;Thriller, Drama, Policial (cri
El Alamo;1960;USA;Acción, Drama, Aventuras, Béli
El americano impasible x2;2002;Germany;Thriller, Drama, Bélica, Román
El amo de la casa;1925;Denmark;Drama
Eli amor;1948;italia;
El ángel exterminador;1962;México;Drama, Comedia, Fantasía, Mist
El apartamento;1960;USA;Drama, Comedia, Romántica
El asesinato de Richard Nixon;2004;USA;Drama, Policial (crimen), Hist
El aventurero;1967;italia;
El aviador;2004;USA;Drama, Biográficas
El banquete de boda;1993;Taiwan;Drama, Comedia, Romántica
El bueno, el feo y el malo;1966;Italy;Aventuras, Lej ano Oeste
El burlador de Castilla;1948;USA;Acción, Aventuras, Romántica
El buscavidas;1961;USA;Drama, Romántica, Deportes
El cartero siempre llama dos v;1981;USA;Thriller, Drama, Policial (cri
El cielo protector;1990;UK;Drama, Aventuras, Romántica
El color del dinero;1986;USA;Drama, Deportes
El coronel Maciá;2006;Spain;Biográficas
El coronel no tiene quien le e;1999;México;Drama
El crepúsculo de los dioses;1950;USA;Drama, Cine Negro
El cuarto hombre;1952;USA;Drama, Policial (crimen) , Mist
El cuarto protocolo;1987;UK;Thriller
El cuchillo en el agua;1962;Poland;Drama
El día más largo;1962;USA;Acción, Drama, Bélica, Histori
El diablo de las aguas turbias;1954;USA;Thriller, Drama, Aventuras
El dinero;1983;France;Drama, Policial (crimen)
El empleo del tiempo;2001;France;Drama
Un espíritu burlón;1945;UK;Drama, Comedia, Fantasía, Romá
El extraño;1946;USA;Thriller, Drama, Policial (cri
El extraño amor de Martha Iver;1946;USA;Drama, Cine Negro
El extraño viaje;1964;Spain;Comedia, Policial (crimen)
El fantasma de la ópera;1925;USA;Horror, Drama
El fantasma y la señora Muir;1968;USA;Comedia
El fugitivo;1993;USA;Acción, Thriller, Drama, Avent
El gatopardo x2;1963;Italy;Drama, Bélica, Romántica, Hist
El gran dictador;1940;USA;Drama, Comedia, Bélica
El gran Flamarion;1945;USA;Drama, Cine Negro
El gran Lebowski;1998;USA;Comedia, Policial (crimen), Mi
El gran mago;;;
El hijo de Montecristo;1940;USA;Acción, Aventuras
El hombre del tren;2002;France;Thriller, Drama, Policial (cri
El hombre que mató a Liberty V;1962;USA;Drama, Lejano Oeste, Romántica
El hombre que se apareció a si;1970;UK;Thriller, Horror, Drama, Fanta
El honor de los prizzi;1985;USA;Drama, Comedia, Policial (crim
El hundimiento;2004;Germany;Drama, Bélica, Historia, Biogr
El increíble hombre menguante;1957;USA;Thriller, Ciencia Ficción
El inocente;1976;Italy;Drama, Romántica
El intendente Sansho;1954;Japan;Drama
El jardinero fiel;2005;UK;Thriller, Drama, Romántica, Mi
El joven Lincoln;1939;USA;Drama, Biográficas
El jurado;2003;USA;Thriller, Drama
El laberinto del fauno;2006;Spain;Drama, Bélica, Fantasía, Miste
El león en invierno;1968;UK;Drama, Historia
Most Dangerous Game, The;1932;USA;Thriller, Horror, Aventuras, M
El manantial de la doncella;1960;Sweden;Drama, Policial (crimen)
El maquinista de la general;1926;USA;Acción, Comedia, Bélica, Román
El mensajero del miedo;1962;USA;Thriller, Drama, Misterio
El mercader de Venecia;2004;USA;Drama
El millonario;1954;UK;Comedia, Romántica
El nacimiento de una nación;1915;USA;Drama, Bélica, Lejano Oeste, R
El navegante;1924;USA;Comedia
El otro lado de la cama;2002;Spain;Drama, Comedia, Romántica, Mus
El paciente inglés;1996;USA;Drama, Bélica, Romántica
El padrino;1972;USA;Drama, Policial (crimen)
El padrino. Parte II;1974;USA;Drama, Policial (crimen)
El padrino. Parte III;1990;USA;Thriller, Drama, Policial (cri
El perro del hortelano x2;1996;Spain;Comedia, Romántica
El pianista x2;2002;France;Drama, Bélica, Biográficas
El piano x2;1993;Australia;Drama, Romántica
Prince and the Pauper, The;1937;USA;Drama, Aventuras, Fantasía, Fa
El principio de la incertidumb;2002;France;Drama
Procés de Jeanne d'Arc;1962;France;Drama, Bélica
El profesor chiflado;1963;USA;Ciencia Ficción, Comedia
El puente sobre el río Kwai;1957;UK;Drama, Aventuras, Bélica
El resplandor;1980;UK;Horror, Misterio
El rostro impenetrable;1961;USA;Lejano Oeste
El salario del miedo;1953;France;Thriller, Drama
El samurai ciego;;japón;
El sargento negro;1960;USA;Policial (crimen), Lejano Oest
El secreto de Vera Drake;2004;UK;Drama, Policial (crimen)
El señor de Balantry;1953;USA;Aventuras
El séptimo sello;1957;Sweden;Drama, Fantasía
El silencio de un hombre;1967;France;Thriller, Drama, Policial (cri
El tercer hombre;1949;UK;Thriller, Misterio, Cine Negro
El trigo esta verde;1979;usa;Drama
August Rush: El triunfo de un;2007;USA;Drama, Música, Romántica
El último emperador;1987;China;Drama, Historia, Biográficas
El último golpe;2001;Cañada;Acción, Thriller, Drama, Polic
El último gran mago;2007;UK;Thriller, Drama, Romántica
El último show;2006;USA;Drama, Música, Comedia, Música
El valle de la venganza (x2);1951;USA;Lejano Oeste
El verdugo;1963;Spain;Drama, Comedia
El viaje a ninguna parte;1986;Spain;Drama, Comedia
El viaje de Chihiro;2001;Japan;Aventuras, Fantasía, Animación
El viaje de la tortuga;2009;uk;Animación
El viaje de los malditos;1976;UK;Drama, Bélica
El violinista en el tejado (x2;1971;USA;Drama, Familiar, Musical
Ellos y ellas;1955;USA;Comedia, Romántica, Musical
Emma, de Jane Austen;1996;UK;Comedia, Romántica
En alas de la danza;1936;USA;Comedia, Romántica, Musical
En busca del fuego;1981;Cañada;Drama, Aventuras
En el valle de Elah;2007;USA;Thriller, Drama/ Policial (cri
En la cama;2005;Chile;Drama
En tierra de nadie;2001;France;Drama, Comedia, Bélica
Encuentros en la tercera fase;1977;USA;Drama, Ciencia Ficción
Ensayo de un crimen;1955;México;Drama, Comedia, Policial (crim
Bnviado especial;1940;USA;Thriller, Bélica, Romántica, M
Escala en Hawaii;1955;USA;Drama, Comedia, Bélica
Epaña en la memoria;;;Comedia
Estación Termini;1953;Italy;Drama, Romántica
Europa;1991;Spain;Drama, Bélica
Eva al desnudo;1950;USA;Drama
Factótum;2005;Norway;Drama, Comedia, Romántica
Falso culpable;1956;USA;Drama, Policial (crimen), Cine
Fanny y Alexander;1982;Sweden;Drama, Fantasía, Misterio
Fascinación;1976;USA;Thriller, Drama, Misterio
forajidos (x2);1976;usa;Acción
Funny Games: juegos divertidos;1997;Austria;Thriller, Horror, Drama, Polic
furia;1936;usa;
Furtivos;1975;Spain;Drama
Gente con clase;2000;UK;Comedia
Gertrud;1964;Denmark;Drama
Ghandi;1983;usa;Drama
Good bye, Lenin!;2003;Germany;Drama, Comedia, Romántica
Gritos y susurros;1972;Sweden;Drama, Romántica
Guantanamera;1995;Cuba;Drama, Comedia
Ha nacido una estrella;1954;USA;Drama, Romántica, Musical
Ha nacido una estrella;1937;USA;Drama
Hacia el sur;2005;France;Drama
Hamlet;1948;;
Happy Together (X2);1997;Hong Kong;Drama, Comedia, Romántica
Harry, un amigo que os quiere;2000;France;Thriller, Drama, Comedia
Hatari!;1962;USA;Acción, Drama, Aventuras, Romá
Heat;1995;USA;Thriller, Drama, Policial (cri
Heavy;1995;USA;Drama, Romántica
