Título,Año,País
Gomorra,2008,Italy 
La vida es una sola,1937,USA 
THE LOOKOUT,2007,USA 
Con las horas contadas,1950,USA 
Boys Don't Cry,1999,USA 
Ola de crímenes,1954,USA 
SI YO TUVIERA UN MILLON,, 
Si yo tuviera un millón,1932,USA 
Una mente maravillosa,2001,USA 
El perdón (The Claim),2000,UK 
EL TOPO -PIRATA-,2011,France 
Silencio en la nieve -PIRATA-,2011,Spain 
J. Edgar -PIRATA-,2011,USA 
Pygmalion,1938,UK 
El silencio de Lorna,2008,Belgium 
El motín del Caine,1954,USA 
Unele Boonmee recuerda sus vid,2010,Thailand 
La Vía Láctea -1,1936,USA 
SALGAN Y ENTREN 2,,USA 
APARICION DE FANTASMAS -3,,USA 
El fotógrafo del pánico,1960,UK 
La vida es bella,1997,Italy 
Ginger y Fred,1986,Italy 
A través del espejo,1946,USA 
Cielo amarillo,1948,USA 
Amor a quemarropa,, 
El último rey de Escocia,2006,UK 
Arde Mississippi,1988,USA 
Minority Report,2002,USA 
Mi semana con Marilyn-pirata-,2011,UK 
La invención de Hugo -pirata-,2011,USA 
Revolutionary Road,2008,USA 
El americano,2010,USA 
Morente,2011,Spain 
El quimérico inquilino,1976,France 
Novecento,1976,Italy 
"Adiós, muñeca",1975,USA 
Up in the Air,2009,USA 
Lluís Llach a Verges,,Spain 
Kill Bill: Vol. 1,2003,USA 
"Kill Bill. Volume 2 ^ Semilla de crisantemo A AA/p""",2004,USA 
,1990,Japan 
El desafío - Frost contra Nixo,2008,USA 
Luces rojas,2012,Spain 
Entre copas,2004,USA 
Pollock. La vida de un creador,2000,USA 
Jackie Brown,1997,USA 
No habrá paz para los malvados,2011,Spain 
Malditos bastardos,2009,USA 
Palermo Shooting,2008,Germany 
El último atardecer,1961,USA 
El apartamento,1960,USA 
American Gángster,2007,USA 
Los diez mandamientos cinta 1,1956,USA 
Uno de los nuestros,1990,USA 
Gladiator,2000,USA 
Celda 211,2009,Spain 
El temible burlón,1952,USA 
Atrapado en el tiempo,1993,USA 
Perversidad,1945,USA 
El proceso Paradine,1947,USA 
"Freud, pasión secreta",1962,USA 
Encubridora,1952,USA 
Ricas y famosas,1981,USA 
La novia era él,1949,USA 
The Queen (La Reina),2006,UK 
La rosa púrpura de El Cairo,1985,USA
Encadenados,1946,USA
Mogambo,1953,USA
La isla del tesoro,1934,USA
David Copperfield,1935,USA
La casa del juego,1987,USA
Érase una vez en América,1984,Italy
La burla del diablo,1953,UK
Chloe,2009,USA
Billy Elliot (Quiero bailar),2000,UK
Pandora y el holandés errante,1951,UK
El séptimo velo ( en la misma,1945,UK
Roma (en la misma cinta Casano,1972,Italy
El Casanova de Fellini ( en la,1976,Italy
El nombre de la rosa -blurray-,1986,West Germany
Las nieves del Kilimanjaro (p,2011,France
Lo que queda del día,1993,UK
Sospechosos habituales,1993,UK
Esplendor en la hierba,1995,USA
Promesas del este,1961,USA
El signo del Zorro,2007,UK
El diablo viste de Prada,1940,USA
La misión,2006,USA
Los chicos del coro,1986,UK
King Kong,2004,France
Gardenia azul,2005,New Zealand
Manhattan Sur,1953,USA
El intendente Sansho (carpeta,1985,USA
Historia del último crisantem,1954,Japan
La emperatriz	Yang	Kwei	Fei (c,1939,Japan
Cuentos de la	luna	pálida (Ca,1955,Japan
Utamaro o meguru gonin no onna,1953,Japan
Los girasoles,1946,Japan
"Roma, ciudad abierta",1970,Italy
El Casanova de Fellini,1945,Italy
L.A. Confidential,1976,Italy
Ágora,1997,USA
Como un torrente,2009,Spain
El exótico hotel Marigold,1958,USA
El	señor	de	los	anillos:	La	co,2001,New Zealand
El	señor	de	los	anillos:	El	re,2003,USA
El	señor	de	los	anillos:	Las d,2002,USA
La	duda	(Doubt),2008,USA
Lo que el viento se llevó,1939,USA
Los duelistas,1977,UK
Banderas de nuestros padres,2006,USA
Attack,1956,USA
Precious,2009,USA
King Kong,1933,USA
La clase,2008,France
Dulce pájaro de juventud,1962,USA
El velo pintado (The Painted V,2006,China
Pride & Prejudice (Orgullo y p,2005,France
La linterna roja,1991,China
Toma el dinero y corre,1969,USA
Distrito Apache,1981,USA
Noches blancas (retrospectiva,1957,Italy
Cronaca familiare (retrospecti,1962,Italy
Una vida privada Retrospectiva,1962,France
Otra terapia peligrosa ¡Recaíd,2002,USA
Ice Age. La edad de hielo,2002,USA
Infernal Affairs II,2003,Hong Kong
La ley de la calle,1983,USA
Collateral,2004,USA
FropWliySr condenada,1966,USA
El intercambio,2008,USA
Yo creo en ti,1948,USA
El exótico Hotel Marigold,2011,UK
CW?T*el argentino,2008,France
Perros de paja,1971,USA
Primera plana,1974,USA
Valmont,1989,France
La misión,1986,UK
Senderos de gloria,1957,USA
"Barcelona, abans que el temps",2010,Spain
El león en invierno,2003,USA
No Direction Home: Bob Dylan,,UK
Un americano tranquilo,1958,USA
Smoke,1995,Germany
Los idus de marzo,2011,USA
LiV'Sn los grandes almacenes,,
Luna de papel,1973,USA
Las normas de la casa de la si,1999,USA
Los duelistas,1977,UK
Vidas rebeldes,1961,USA
La deuda,2010,USA
T^Plume de mujer,1974,Italy
Doce monos,1995,USA
El pisito,1959,Spain
Pollock. La vida de un creador,2000,USA
Lloviendo piedras,1993,UK
Antes del atardecer,2004,USA
Antes de amanecer,1995,USA
