Título,Año,País
El profesor chiflado,1963,USA
El puente sobre el río Kwai,1957,UK
El resplandor,1980,UK
El rostro impenetrable,1961,USA
El salario del miedo,1953,France
El samurai ciego,,japón
El sargento negro,1960,USA
El secreto de Vera Drake,2004,UK
El señor de Balantry,1953,USA
El séptimo sello,1957,Sweden
El silencio de un hombre,1967,France
El tercer hombre,1949,UK
El trigo esta verde,1979,usa
August Rush: El triunfo de un,2007,USA
El último emperador,1987,China
El último golpe,2001,Cañada
El último gran mago,2007,UK
El último show,2006,USA
El valle de la venganza (x2),1951,USA
El verdugo,1963,Spain
El viaje a ninguna parte,1986,Spain
El viaje de Chihiro,2001,Japan
El viaje de la tortuga,2009,uk
El viaje de los malditos,1976,UK
El violinista en el tejado (x2,1971,USA
Ellos y ellas,1955,USA
"Emma, de Jane Austen",1996,UK
En alas de la danza,1936,USA
En busca del fuego,1981,Cañada
En el valle de Elah,2007,USA
En la cama,2005,Chile
En tierra de nadie,2001,France
Encuentros en la tercera fase,1977,USA
Ensayo de un crimen,1955,México
Bnviado especial,1940,USA
Escala en Hawaii,1955,USA
Epaña en la memoria,,
Estación Termini,1953,Italy
Europa,1991,Spain
Eva al desnudo,1950,USA
Factótum,2005,Norway
Falso culpable,1956,USA
Fanny y Alexander,1982,Sweden
Fascinación,1976,USA
forajidos (x2),1976,usa
Funny Games: juegos divertidos,1997,Austria
furia,1936,usa
Furtivos,1975,Spain
Gente con clase,2000,UK
Gertrud,1964,Denmark
Ghandi,1983,usa
"Good bye, Lenin!",2003,Germany
Gritos y susurros,1972,Sweden
Guantanamera,1995,Cuba
Ha nacido una estrella,1954,USA
Ha nacido una estrella,1937,USA
Hacia el sur,2005,France
Hamlet,1948,
Happy Together (X2),1997,Hong Kong
"Harry, un amigo que os quiere",2000,France
Hatari!,1962,USA
Heat,1995,USA
Heavy,1995,USA
Hijos de un mismo dios,2001,USA
Historias de Filadelfia,1940,USA
Historias de la radio,1955,Spain
Historias extraordinarias,1968,France
hombres,1951,usa
Hombres intrépidos,1940,USA
Horizontes de grandeza-—^,1958,USA
Hótel du Nord,1938,France
house temporada 1 - Temporada,,
House - Temporada 1,2004,USA
Huracán sobre la isla,1937,USA
Imitación a la vida,1959,USA
Indefenso,1993,UK
En busca del arca perdida,1981,USA
Indiana Jones y la última cruz,1989,USA
Indiana Jones y el reino de la,2008,USA
indiscreta,1954,usa
Inland Empire,2006,France
Inquietud,1998,Portugal
intervista,1987,italia
Investigación sobre un ciudada,1970,Italy
"Irma, la dulce",1963,USA
Jet Lag,2002,France
Jezabel,1938,USA
"Jo, ¡qué noche!",1985,USA
Johnny Guitar,1954,USA
Jóvenes prodigiosos,2000,UK
,1941,USA
Juan Nadie (x3),1941,USA
Juana la loca,2006,españa
Jules y Jim,1962,France
Giulietta de los espíritus,1965,Italy
Julio César,1953,USA
junio -,2007,usa
Juventud ambiciosa,1943,USA
K-19: The Widowmaker,2002,UK
Kim de la India,1950,USA
Northanger Abbey,2007,UK
La ansiedad de Veronika Voss,1982,West Germany
La boda del monzón,2001,India
Cena de Navidad,1999,France
La caída de los dioses,1969,Italy
La carga de la Brigada Ligera,1936,USA
La carta,1999,France
La casa de bambú,1955,USA
La caza del Octubre Rojo,1990,USA
La clase,2008,France
La colina,1965,usa
La colina de los diablos de ac,1957,USA
La colmena,1982,Spain
La condesa descalza,1954,USA
La corona de hierro,1941,Italy
La Costilla de Adán (x2),1949,USA
La dama del armiño,1947,Stoacín
La decisión de Sophie,1982,UK
La diligencia,1939,USA
La dolce vita,1960,Italy
La ducha,1999,China
La escalera de caracol,1945,USA
la .estrella ausente,,
El último samurai,2003,USA
La estrella de variedades,1943,USA
La fiera de mi niña,1938,USA
La flor de mi secreto,1995,Spain
La fortuna de vivir,1999,France
La gran aventura de Silvia,1935,USA
La gran evasión,1963,USA
La habitación de Fermat,2007,Spain
La habitación del hijo,2001,Italy
La heredera,1949,USA
La herencia Ferramonti,1976,Italy
La hora de los valientes,1998,Spain
La impetuosa,1952,USA
La inglesa y el duque,2001,France
La joven de la perla,2003,UK
La lengua de las mariposas,1999,Spain
la ley de la fuerza,1952,USA
La milla verde,1999,USA
La muchacha de Londres,1929,UK
La mujer del año,1942,USA
La mujer del cuadro,1944,USA
La mujer pantera,1942,
La noche de los muertos vivien,1968,USA
La noche del cazador,1955,USA
La novia cadáver,2005,UK
La octava mujer de Barba Azul,1938,USA
La pantera Rosa,1963,USA
La pradera sin ley,1955,USA
La quimera del oro,1925,USA
La reina de África,1951,UK
La taberna del irlandés,1963,USA
La tapadera,1993,USA
La tentación vive arriba,1955,USA
La tienda de los horrores,1986,USA
La última vez que vi Paris,1954,USA
La ventana indiscreta,1954,USA
La vida de nadie,2002,Spain
La vida es dulce,1990,UK
La vida secreta de las palabra,2005,Spain
La zona gris,2001,USA
las cuatro plumas,1977,UK
Las damas del bosque de Boloni,1945,France
Las flores de Harrison,2000,France
Las horas,2002,USA
Las invasiones bárbaras,2003,Cañada
Las maniobras del amor,1955,France
Las mujeres de verdad tienen c,2002,USA
Las nieves del Kilimanjaro,1952,USA
Las tres noches de Eva,1941,USA
Las uvas de la ira,1940,USA
Las vírgenes suicidas,1999,USA
Las zapatillas rojas,1948,UK
Last Days,2005,USA
Laura,1944,USA
Lawrence de Arabia,1962,UK
Lejos del cielo,2002,USA
leolo,1992,France
Lo que piensan las mujeres,1941,USA
lola,1981,West Germany
Les amants,1958,France
Los amigos de Peter,1992,UK
Los Blandings ya tienen casa,1948,USA
Los falsificadores,2007,Austria
Los girasoles,1970,Italy
Los girasoles ciegos,2008,Spain
Un dia en las carreras,1937,USA
Una tarde en el circo,1939,USA
Tienda de locos,1941,USA
El hotel de los lios,1938,USA
Los hermanos Marx en el Oeste,1940,USA
Los intocables de Eliot Ness,1987,USA
Los inútiles,1953,Italy Rrancia
los joyeros del claro de luna,,
Los lunes al sol,2002,Spain
Los mejores años de nuestra vi,,
Los pazos de Ulloa,1946,USA Spain
Los santos inocentes,1984,Spain
Los siete magníficos,1960,USA
Los siete samuráis,1954,Japan
Los Tarantos,1963,Spain
los tres reyes,,usa
Los viajes de Sullivan,1941,USA
Lucía y el sexo,2001,Spain
